,RA,DEC,incl,q,f,a,relative_area,parallax,parallax_error,distance,distance_error_upper,distance_error_lower,angular_diameter,surface_brightness,ASAS_V_max_mag,ASAS_V_max_mag_error,Kmag,Kmag_error,ebv
0,146.7470205,45.76566349,79.61,0.551,0.143285,3.44,1.023421487,3.0873,0.0159,319.428406,321.095428,318.113647,0.05008198105496548,4.513543825142253,10.99,0.0171,9.605,0.022,0.064999998
1,240.0604461,35.20880092,78.4,0.172,0.592421,2.507,1.239417963,2.5212,0.0214,389.559296,392.667603,386.114197,0.02992797641577042,4.0894312300838935,11.476,0.0136,10.26,0.025,0.034999996
2,239.2061196,22.26710851,82.43,0.692,0.0406,2.52,0.970393045,6.1402,0.0142,162.116028,162.547394,161.708862,0.07228882697289275,5.161725075635533,10.899,0.0528,8.802,0.019,0.01
3,132.0528781,21.12049951,83.38,0.265,0.218876,1.936,1.101378665,3.0464,0.0174,325.360504,327.187561,323.523804,0.02767178101378506,4.82002720929477,12.505,0.0216,10.843,0.018,0.035
4,347.5895164,58.98808614,88.69,0.285,0.30129,2.58,1.117915124,2.0553,0.0149,480.951904,484.495605,476.842804,0.02494678871940252,5.275095323686586,13.169,0.0229,11.285,0.017,0.219849914
5,28.66081618,59.38618352,81.4,0.272,0.137713,4.442,1.076226402,3.0417,0.0202,324.315948,326.400848,321.891571,0.06369521974045478,5.560293305958645,11.46,0.024,9.969,0.02,0.215000004
6,310.0149791,63.99292374,85.2,0.115,0.391183,2.558,1.239122825,3.7242,0.0109,267.32547,268.127014,266.583313,0.04449967020928159,4.333569854206705,10.859,0.0253,9.647,0.02,0.015314211
7,321.0965506,62.26433944,86.2,0.415,0.071595,2.747,1.012217104,2.82,0.0114,349.24469,351.018585,348.007751,0.03657846183964328,4.617311373948115,11.788,0.0334,10.296,0.021,0.343206406
8,284.5394074,20.90689255,83.61,0.431,0.090673,2.03,1.016254845,3.7766,0.0114,263.772949,264.522736,263.001373,0.03579005571095609,5.310318444846407,12.524,0.0291,10.56,0.02,0.178739399
9,265.7957458,43.45262694,79.54,0.359,0.165409,1.845,1.058221204,3.2245,0.0131,307.855865,309.726685,306.408356,0.02787054940946206,5.41416879855246,13.127,0.0354,11.206,0.011,0.064999998
10,23.08644333,55.23250833,83.2,0.164,0.424442,2.119,1.202558389,1.4554,0.0191,673.763123,682.534546,665.667419,0.014625822918448472,5.161866985299233,14.136,0.0351,12.198,0.023,0.18240352
11,57.36569424,12.91217903,86.0,0.534,0.133974,2.27,1.020249538,10.2015,0.0178,97.7453156,97.9540024,97.5614319,0.10800068133785942,4.46389849348356,9.275,0.0636,8.394,0.018,0.0
12,304.211738,41.96146041,80.76,0.107,0.577083,2.183,1.281493753,4.5063,0.0127,220.968414,221.643585,220.360718,0.04594308230261539,4.403391875967193,10.823,0.0363,9.506,0.024,0.005
13,21.53810314,60.87399827,83.8,0.284,0.245453,2.725,1.1033411,3.132,0.0153,314.531921,315.941742,313.156372,0.040290102339475685,4.850766343038674,11.718,0.0173,10.395,0.016,0.119999997
14,38.79846406,49.86033622,62.7,0.305,0.069751,5.32,1.054313188,5.6298,0.0313,176.615952,177.635742,175.772003,0.1400806979672973,4.011315582439521,8.222,0.126,6.883,0.029,0.0
15,344.1287056,33.92002655,62.21,0.243,0.32112,2.672,1.154061084,3.7689,0.0256,263.703461,265.739136,262.030701,0.047121294783805986,3.945658067897715,10.424,0.045,9.166,0.015,0.044999998
16,351.6221093,31.34469964,90.0,0.287,0.118275,1.797,1.063809467,4.1,0.0157,241.79277,242.680176,240.757904,0.03456219831531355,4.659166416226933,11.899,0.0355,10.542,0.018,0.014886457
17,116.7158275,-4.693541651,79.9,0.143,0.779396,2.512,1.295363816,0.4295,0.0294,2143.40698,2298.14551,2022.85034,0.005450189286748025,2.936037332440468,13.973,0.0194,14.032,0.066,0.129999995
18,306.5500291,75.93354207,83.2,0.219,0.511068,2.924,1.198644248,2.175,0.0109,454.637634,456.882812,452.425659,0.029909460313295028,5.946768647568728,13.371,0.0335,11.705,0.025,0.189999998
19,340.2825419,82.70689825,79.1,0.162,0.473259,2.161,1.216543963,3.4293,0.0106,288.44931,289.476562,287.582031,0.03484029741981086,4.738228788676613,11.815,0.0342,10.172,0.021,0.037547946
20,146.7470204,45.76566333,80.0,0.564,14.0,3.39,1.0209256,3.0873,0.0159,319.428406,321.095428,318.113647,0.04935404528381774,4.482099011181164,10.993,0.0212,9.605,0.022,0.014687014
21,224.1180683,46.36224139,86.0,0.299,5.0,2.43,1.03477672,6.4344,0.0149,155.016815,155.404922,154.633209,0.07289941703510062,4.445736900663675,10.095,0.1205,8.677,0.023,0.01603336
22,19.15862625,-39.70870278,76.0,0.367,15.0,2.46,1.052768282,5.1087,0.0178,194.9664,195.574966,194.365265,0.05867754373044234,4.114191608806805,10.216,0.1027,8.871,0.023,0.014596666
23,67.05686292,53.04568417,76.0,0.413,12.0,2.35,1.032717975,6.7248,0.0156,147.97757,148.401199,147.609787,0.07385307153821401,4.906797151858026,10.53,0.1028,8.586,0.02,1.3715067
24,4.339640417,-71.91579083,76.0,0.354,37.0,4.11,1.129448146,2.7764,0.0118,358.539886,359.846527,357.259796,0.053309049254716585,3.441170427780478,9.675,0.0767,9.135,0.021,0.029856442
25,239.8274242,27.87084139,76.0,0.836,5.0,2.91,0.97165568,3.9566,0.0145,250.834167,251.586243,249.724915,0.053951420937801836,4.474795421104933,10.846,0.034,9.776,0.018,0.04311321
26,239.2061192,22.26710833,83.0,0.709,15.0,2.52,1.018873543,6.1402,0.0142,162.116028,162.547394,161.708862,0.07228882697289275,5.200656600399546,10.885,0.0711,8.802,0.019,0.06476965
27,255.3410396,42.16386528,74.0,0.482,38.0,2.75,1.125090878,7.8062,0.0124,127.840706,128.039917,127.637665,0.10003687688994722,4.531769632706509,9.403,0.0902,7.993,0.021,0.019178074
28,241.5723625,62.7628025,82.0,0.289,61.0,4.06,1.212243381,1.9221,0.0173,516.599487,521.014893,512.819946,0.036548423981509606,3.5213178253306445,10.498,0.0399,9.809,0.02,0.01843439
29,212.3643558,-15.58162028,83.0,0.34,0.0,3.9,1.0049832,2.5524,0.0167,387.321808,390.433746,384.924042,0.04682623581513493,3.7568432440508306,10.399,0.1077,9.058,0.023,0.08593553
30,39.63825125,-14.29908917,83.0,0.356,24.0,3.05,1.083059486,5.3509,0.0141,186.014511,186.451324,185.522949,0.07625171321142026,4.115878805157725,9.618,0.1281,8.492,0.021,0.023142599
31,9.116411667,21.53737083,79.0,0.136,88.0,2.49,1.321253239,3.1256,0.0247,316.232208,318.636353,314.338318,0.03661759677494891,4.0509143524798885,10.93,0.0181,9.711,0.022,0.034278292
32,218.1272437,50.82796833,75.0,0.512,28.0,3.17,1.08488592,6.2137,0.0133,160.410507,160.725647,160.043213,0.09190159356113774,4.362075392346226,9.457,0.0771,8.41,0.024,0.011550747
33,271.3769542,69.754375,78.0,0.16,47.0,3.05,1.21761504,3.4809,0.0142,285.740814,287.017731,284.572632,0.04963912906727626,3.9788957750425316,10.286,0.0622,9.143,0.019,0.028782208
34,356.8264392,-8.086693056,70.0,0.203,48.0,3.25,1.202750558,2.9456,0.0264,335.727264,337.811218,333.119232,0.04501874056355165,3.8744056230875383,10.407,0.0598,9.554,0.026,0.028821772
35,140.7418562,77.21970972,71.0,0.222,88.0,4.65,1.313476422,4.5012,0.016,221.048813,222.010757,220.303604,0.09782759052170997,4.098362488367572,8.85,0.1533,7.708,0.016,0.020014262
36,235.7510467,43.26536528,69.0,0.096,38.0,3.78,1.274847703,2.8022,0.0121,355.343262,357.058502,353.839081,0.049469817290181115,3.734347296286755,9.999,0.0239,9.034,0.023,0.0182539
37,33.05862042,44.66005778,86.0,0.514,3.0,2.42,0.979312112,5.9353,0.0186,167.556488,168.151321,167.106232,0.06716618918109826,4.344056356395387,10.231,0.0838,8.985,0.019,0.08779092
38,113.4092062,-50.12362361,82.0,0.189,20.0,2.72,1.134908481,3.9982,0.0107,249.633865,250.246246,248.906982,0.05067129393608944,4.000212076224897,10.339,0.0413,9.067,0.021,0.23488943
39,311.6156171,-71.94957389,86.0,0.228,60.0,4.43,1.219617046,4.0824,0.0167,244.04509,245.247162,242.929886,0.08441706393708785,3.5757099297835007,8.728,0.1356,7.725,0.023,0.06020115
40,7.116535,78.96184917,67.0,0.413,10.0,2.3,1.031001261,5.8769,0.0142,169.715179,170.161407,169.294876,0.06302367745322864,4.548666695202716,10.518,0.0423,8.868,0.02,0.23382595
41,102.6919287,29.45314556,79.0,0.334,17.0,2.57,1.066376865,4.6963,0.0185,211.385498,212.22258,210.6138,0.056539833497342123,4.0395494123353215,10.208,0.0296,9.382,0.017,0.09255965
42,147.4513292,34.45428417,84.0,0.366,28.0,2.64,1.093715312,2.7743,0.0207,353.744568,356.239136,351.36673,0.034706493553676554,4.046314423183333,11.247,0.0338,10.382,0.019,0.010701616
43,188.7710813,23.33722972,85.0,0.46,7.0,2.49,1.003251,4.8018,0.0394,207.137573,209.014053,205.564957,0.0559032497681904,4.190709278387019,10.45,0.0533,9.002,0.018,0.014053536
44,69.15692208,18.75494222,84.0,0.379,55.0,3.11,1.189022364,4.5679,0.0193,217.400925,218.329468,216.478592,0.06652664049884936,4.380953021774138,10.078,0.0522,8.587,0.02,0.40874642
45,31.07669667,24.00063722,75.0,0.295,16.0,2.78,1.077320399,5.2783,0.0199,188.290955,189.111649,187.548569,0.06866128532554734,4.492421853520704,10.228,0.0886,8.589,0.02,0.08245802
46,46.75512917,-56.13457222,80.0,0.473,18.0,4.38,1.044878602,1.9322,0.0123,511.808533,514.422852,509.070709,0.03979817703237522,3.9299804861433145,10.883,0.0233,10.248,0.023,0.012855019
47,27.2255975,-20.89294194,83.0,0.53,3.0,2.32,0.97769572,6.5482,0.0197,152.060989,152.50116,151.606155,0.07095234692595749,4.692343112034985,10.462,0.1982,8.957,0.027,0.011134581
48,130.0070996,18.99983917,62.0,0.455,8.0,2.78,1.020147719,5.4368,0.0182,182.755539,183.37265,182.084946,0.07074094200490852,4.268011850586181,9.998,0.0703,8.698,0.018,0.023161951
49,185.3280042,-13.99806917,85.0,0.24,34.0,2.98,1.144644201,2.3374,0.0227,421.157684,425.054138,416.830383,0.032905472140613325,3.7130169140200975,10.98,0.0578,9.918,0.021,0.045451496
50,47.46976542,-6.892641944,77.0,0.373,14.0,3.09,1.047478712,4.2124,0.0177,235.627396,236.673096,234.661957,0.06098587889318722,4.61650944880462,10.64,0.064,9.372,0.023,0.06681797
51,160.1382704,13.56690389,87.0,0.303,76.0,4.21,1.262683361,3.0376,0.0214,325.807312,328.109924,323.563721,0.06009216628216951,3.7193254455800075,9.572,0.093,9.113,0.019,0.036479793
52,57.36569417,12.91217889,86.0,0.534,13.0,2.27,1.018610366,10.2015,0.0178,97.7453156,97.9540024,97.5614319,0.10800068133785942,4.465152705294605,9.278,0.0433,8.394,0.018,0.4208384
53,351.3549525,15.68865167,63.0,0.36,21.0,3.87,1.084700798,6.0382,0.0264,164.560272,165.382629,163.699814,0.10936605829093157,3.7526876981674793,8.47,0.2153,7.129,0.017,0.03499153
54,356.3961042,25.47192833,73.0,0.401,31.0,3.09,1.104425337,4.2375,0.0204,234.401749,235.545258,233.407043,0.0613047637130603,3.2243120177967843,9.179,0.0513,8.217,0.029,0.04940529
55,354.2306929,15.80177667,88.0,0.256,61.0,4.02,1.21530986,3.6867,0.0196,269.10788,270.618774,267.652313,0.06946982893651377,3.855698700856503,9.435,0.1199,8.317,0.026,0.06705664
56,75.29513667,34.50737639,82.0,0.144,29.0,2.44,1.188748223,5.8191,0.0211,171.090347,171.756485,170.46405,0.06632250337739783,4.288029254466302,9.992,0.0202,8.357,0.029,0.86599416
57,293.8504979,5.838239167,82.0,0.362,24.0,2.7,1.082235022,4.7372,0.0154,209.745575,210.480316,209.220566,0.05986425031659347,4.4166417007575145,10.445,0.0178,9.497,0.023,0.2828928
58,250.33692,0.507606667,71.0,0.335,24.0,3.12,1.093206878,10.3744,0.0209,96.0610886,96.237999,95.887352,0.1510440706602812,4.836274295635273,8.844,0.0703,6.997,0.023,0.1084185
59,269.7025742,13.49618972,84.0,0.53,15.0,2.36,1.027523202,6.3729,0.0172,156.329971,156.652084,155.828384,0.07020472572000089,4.571310827923821,10.31,0.0735,8.568,0.02,0.14123154
60,175.7003387,-35.81597361,82.0,0.311,6.0,2.59,1.035522752,8.0291,0.0161,124.156372,124.43071,123.8125,0.0970124208034364,4.173035823131129,9.201,0.0654,7.689,0.021,0.10276068
61,241.5092183,50.18697333,78.0,0.26,25.0,2.88,1.1144192,5.8333,0.0142,170.885483,171.22316,170.580933,0.07837614685836722,4.596541008563854,10.008,0.0677,8.428,0.015,0.021447107
62,252.3801671,47.10800167,68.0,0.226,23.0,5.29,1.131613601,2.5971,0.011,383.121185,384.625549,381.768097,0.06421198506809225,3.72732587678834,9.555,0.2264,8.83,0.012,0.029915446
63,214.3584683,12.56762389,74.0,0.428,11.0,2.38,1.027144832,6.6644,0.0168,149.340897,149.738678,148.924622,0.07411306817776736,4.916553177559495,10.538,0.0576,8.688,0.02,0.02044792
64,145.93946,55.95251694,83.0,0.484,32.0,2.41,1.097913893,19.2667,0.0189,51.8314438,51.8775101,51.7808495,0.21623218026040783,4.957022338251966,8.181,0.1674,6.184,0.017,0.012416201
65,207.2981942,20.19016389,69.0,0.16,56.0,2.23,1.24789756,4.1808,0.0216,237.041687,238.277451,235.56218,0.04374986578603624,3.9013309641131957,10.456,0.0627,9.199,0.017,0.02333718
66,150.6424829,17.04642778,78.0,0.348,24.0,3.47,1.08653419,2.7968,0.0221,353.346466,356.046051,350.313477,0.0456694008524163,3.6142350622345916,10.226,0.1112,9.545,0.018,0.029287387
